Postagem,Funcionalidade,Tipo,Sentimento,Intenção,Facetas de Usabilidade,Facetas de UX
Gostei muito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Eu n consigo me cadastrar,Cadastrar,Crítica,Neutra,Reflexiva,Eficácia,
Está me auxiliando muito,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Adorei,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Não quer fazer o cadastro,Cadastro,Crítica,Neutra,Reflexiva,Eficácia,
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Intuitivo e prático,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"É muito bom,está me ajudando muito",,Elogio,Positiva,Visceral,Satisfação,Satisfação
MT bom msm,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Maravilhoso!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
eu amei,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom! Superou minhas expectativas! Super recomendo!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
É o melhor de todos que testei!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"É bem prático, fácil de usar!",,Elogio,Positiva,Reflexiva,Aprendizado,
Estou gostando,,Elogio,Positiva,Visceral,Satisfação,Satisfação/Afeto
"aplicativo sensacional, ajudou muito na dieta",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Nota 1000 em três semanas emagreci 3,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Parece complicado mas quando você aprende a usar é o melhor app,,Elogio,Positiva,Reflexiva,Aprendizado,
"Não consigo entrar com alterações de peso no app, então funciona apenas para registro de alimentação mesmo",Alterar peso,Crítica,Neutra,Reflexiva,Eficácia,
Ótimo aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bem completo,,Elogio,Positiva,Reflexiva,Satisfação; Eficácia,Satisfação
Perfeito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O registro dos alimentos deveriam ficar em ordem alfabética para que não tenha que ficar rodando todos os alimentos registrados,Registro dos alimentos, Sugestão,Neutra,Reflexiva,Utilidade,
Muito chato!,,Crítica,Negativa,Visceral,,Frustração
Perfeito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Só acho ruim a demora para abrir o aplicativo,,Crítica,Neutra,Reflexiva,Eficiência,
Excelente!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Estou gostando muito uso a um mês como nunca fui organizada o App está me ajudando muito,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Perdi quase 7 kg em um mês, continuarei usando, seria bom que as horas das refeições fossem registradas",Registrar hora da refeição,Elogio/Sugestão,Neutra,Reflexiva,Utilidade,
Tem me ajudado imenso a alcançar os meus objetivos,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Não consigo me registrar,Cadastrar,Crítica,Neutra,Reflexiva,Eficácia,
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor App para uma alimentação Saudável,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Show!!! Pena que as matérias não estão traduzidas,Matérias,Elogio/Crítica,Neutra,Reflexiva,Eficácia,
"Aplicativo, que uso há um tempo, sempre consigo meus objetivos de emagrecer bem!",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Mto top!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ele é otimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente experiência,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito intuitivo e conexão com Apps de Fitness!,Conectar com outros apps,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
"Me ajuda muito na minha dieta, recomendo a todos que buscam ter uma maior noção dos macros, valor energético de cada coisa que se come",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação/Motivação
Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Mto bom! Só falta ter a opcao de carb net no resumo dos macros!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Gostei,tem me ajudado muito!",,Elogio,Positiva,Visceral,Satisfação,Satisfação/Afeto
"Muito bom, tem me ajudado a controlar minha alimentação",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Estou adorando usar esta funcionando,,Elogio,Positiva,Visceral,Satisfação,Satisfação/Afeto
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O aplicativo está travando,,Crítica,Neutra,Reflexiva,Eficácia,
Ja instalei e desinstalei e continua,,Crítica,Negativa,Reflexiva,,Frustração
Desisto de usar,,Crítica,Negativa,Reflexiva,,Frustração
Devia ser gratuito a contagem dos macros por gramas,,Sugestão,Negativa,Reflexiva,Utilidade,
Adorei o app,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Está me ajudando muito!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito prático e usual,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Está me ajudando muito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Quando você registra o que comeu ele guarda os últimos alimentos, o que vai tornando o uso do app mais dinâmico com o passar do tempo",Inserir alimento no diário,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
"Outra coisa legal é conectálo ao Google Fit e ao Map My Walk, para que o seu resultado de atividade física seja considerado",Conexão com outros apps,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
"No fim do dia vc clica em concluir diário e ele traz a estimativa para o seu peso em cinco semanas, baseado no peso atual, nível de atividade e ingestão",Concluir diário,Ajuda,Positiva,Comportamental,Satisfação/Eficácia,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Completo, mas simples de usar e funcional",,Elogio,Positiva,Reflexiva,Satisfação; Aprendizado,Satisfação
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Adorei,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação/Afeto
Com ele tudo tem dado certo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor diário de alimentação que vi,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Aplicativo tem boas funções, poder compartilhar as informações com minha pulseira inteligente de exercícios auxiliou muito para equilibrar a quantidade de macros diários",Conexão com outros apps,Elogio,Positiva,Reflexiva,Satisfação/Utilidade,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
App muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
faz 2 semanas que uso nao travou e me avisa se esquecer de marcar alguma refeição,Notificar sobre marcar refeição,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
"Gosto muito do app,é fácil de mexer e muito útil para quem segui a dieta flexível",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação/Afeto
Tudo de bom! Não preciso fazer minhas continhas O APP faz tudinho,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Recomendo com certeza!!!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Estou amando, tem me ajudado mto, só deveria colocar mais opções na quantidade da porção de alguns alimentos",Editar quantidade da porção,Elogio; Sugestão,Neutra,Reflexiva,Eficácia,
Ótimo aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Prático,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom! Funciona mesmo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito legal!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O melhor aplicativo que existe,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Top demais,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Super Recomendo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Gosto muito desse app me auxilia muito na minha mudança alimentar,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação/Afeto
muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente app para regular as refeições,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O App funciona perfeitamente,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Controlo tudo inclusive em comunicação com o meu relógio Garmin,Conexão com outros apps,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
Melhor app da categoria do mundo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom o app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Era ótimo mas atualizou e trava quando entro no Progresso,Progresso,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Dá pra consertar? Aí voltarei a avaliar com 5,,Dúvida,Negativa,Reflexiva,,Frustração
"O app em si é bom,uso a muito tempo mas últimamente ele te piorado e travado muito e simplesmente fecha",,Elogio/Crítica,Negativa,Reflexiva,,Frustração
Muito bom esse aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ajuda bastante a saber quanto ingere de calorias,Contagem de calorias,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
Melhor app de controle de calorias e diário alimentar,Contagem de calorias/Diário,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
"A integração com outros apps ajuda muito e tem a base de alimentos pré carregados mais completa que já vi, comparado com outros semelhantes",Conexão com outros apps/Base de dados,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
Nao consigo entrar pelo Facebook nem criar uma conta,Cadastrar,Crítica,Neutra,Reflexiva,Eficácia,
Poderia melhorar o registro de exercícios e alimentos,Registrar exercícios/Inserir alimentos,Sugestão,Neutra,Reflexiva,Eficácia; Utilidade,
Simplesmente sensacional,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Ajuda muito, excelente",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Adorei,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"O melhor aplicativo, com marcas diferentes de alimentos, sincronização com app de corridas",Conexão com outros apps,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
"Já emagreci 5kg em um mês com ele, e o melhor, controla proteínas, gorduras",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Atende muito bem minhas necessidades,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
1  Está travando quando tento inserir meu progresso de peso,Atualizar Peso,Crítica,Neutra,Comportamental,Eficácia,
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O entendimento do que é escrito na busca de alimentos deve melhorar,Buscar alimento,Sugestão,Negativa,Reflexiva,Aprendizado,
Porque não consigo usar tendo 15 anos ?,,Dúvida,Neutra,Reflexiva,Aprendizado,
otimo melhor app de dieta,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ajuda muito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"O aplicativo é ótimo, porém tento fazer outra conta mas só aparece que o nome está incorreto",Cadastrar ,Elogio/Crítica,Neutra,Reflexiva,Eficácia,
Ótimo!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Perfeito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor aplicativo pra contar os macros,Contagem de macronutrientes,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
Muita facilidade e com um banco de dado incrível,Base de dados,Elogio,Positiva,Reflexiva,Eficácia; Aprendizado,
Da até pra criar seus proprios alimentos,Criar alimento,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
Super recomendo,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Peço que mudem isso, pois não faz o menor sentido e acaba gerando uma frustração em menores de 18 anos que querem melhorar sua saúde",,Crítica,Negativa,Reflexiva,,Frustração
Muito bom gráfico excelente,,Elogio,Positiva,Reflexiva,Eficácia,Estética
Controlo tudo o que como,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O app tem um banco de dados enorme de alimentos,Base de dados,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
Recomendo,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Bom poder consultar as calorias do que como e também aprender a escolher alimentos de forma simples e saudável sem neura,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Não consigo me cadastrar,Cadastrar ,Crítica,Neutra,Reflexiva,Eficácia,
Show,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Era perfeito, mas começou a travar a aba de progresso",Progresso,Crítica,Negativa,Reflexiva,Eficácia,Frustração
No mais é maravilhoso,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"App foi bem falado, mas não estou conseguindo entrar com o Facebook nem consigo criar uma conta, preciso ser de maior para usar o app ou tenho que fazer alguma coisa diferente ?",Cadastrar,Crítica; Dúvida,Neutra,Reflexiva,Eficácia,
Ótima,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom mesmo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
reeduca nossa alimentação,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Tem me ajudado muiiiiito!!!,,Elogio,Positiva,Visceral,,Afeto
App está travando sempre que tento acessar o meu progresso,Progresso,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Ameiiiii,,Elogio,Positiva,Visceral,,Afeto
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
atual// só perco peso com seu uso,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação/Motivação
Um app completo e muito fácil de usar!!,,Elogio,Positiva,Reflexiva,Eficácia; Aprendizado,
Ótimo esse app tem me ajudado muito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Estou aproveitando muito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Tentei instalar várias vez e só fica dando erro,,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Tive que desinstalar o aplicativo sem nem mesmo conseguir criar uma conta,Cadastrar,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Adorei,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Estou gostando da pra si manter no foco,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Nao cadastra o email por nada,Cadastrar,Crítica,Negativa,Reflexiva,Eficácia,
"fácil de usar, fácil entendimento",,Elogio,Positiva,Reflexiva,Aprendizado,
"Muito bom, estou viciada",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"N gostei pq qndo coloco minha idade, trava!",Inserir idade ,Crítica,Negativa,Reflexiva,Eficácia,Frustração
"o ""progresso"" ao clicar trava o app e tem q ser fechado e aberto outra vez",Progresso,Ajuda,Neutra,Comportamental,Eficácia,
o app é bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"único problema é o ""progresso"" q trava msm",Progresso,Crítica,Negativa,Reflexiva,Eficácia,
Perfeito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito bom, fácil de usar e me ajuda muito",,Elogio,Positiva,Reflexiva,Satisfação; Aprendizado,Satisfação
Desde a actualização de ontem que não se consegue definir bem as metas,Definir metas,Crítica,Neutra,Reflexiva,Eficácia,
Os valores que se define em gramas não correspondem ao que aparece no diário,Diário,Crítica,Neutra,Reflexiva,Eficácia,
"A lista de alimentos precisa ser atualizada sempre(alimentos faltam, valores nutricionais errados, medidas em inglês",Lista de alimentos,Sugestão,Negativa,Reflexiva,Utilidade,
"O melhor , me ajuda muito! Está de parabéns!",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Depois de 1 semana de uso diário corresponde em tudo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom mesmo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom esse app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Só trava,,Crítica,Negativa,Reflexiva,Eficácia,
Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Estou gostando muito de utilizar, muito útil",,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito facil!,,Elogio,Positiva,Reflexiva,Aprendizado,
Amei top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Show de bola,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Atualizei a continua com o mesmo erro, travando ao atualizar o peso",Atualizar peso,Crítica,Negativa,Reflexiva,Eficácia,
1 Última versão continua com o mesmo problema: App está travando quando tento entrar em Progresso para atualizar meu peso,Atualizar peso,Crítica,Negativa,Comportamental,Eficácia,
"Na verdade, o app trava em muitas outras rotinas",,Crítica,Negativa,Reflexiva,Eficácia,
Nada resolveu,,Crítica,Negativa,Visceral,,Frustração
O importante é primeiramente solucionar os problemas para depois inserir novos recursos,,Crítica,Negativa,Visceral,,Frustração
"Muito bom, mas poderia conectar com o Garmin para ser excelente!",Conexão com outros apps,Elogio; Sugestão,Neutra,Reflexiva,Utilidade; Satisfação,Satisfação
"Há um tempão uso esse aplicativo, e considero muito bom",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Mas agora ele trava ao atualizar o peso,Atualizar peso,Crítica,Negativa,Reflexiva,Eficácia,
"Já desinstalei e reinstalei algumas vezes, mas o problema continua",,Crítica,Negativa,Comportamental,Eficácia,Frustração
Vou ter que procurar outra opção,,Crítica,Negativa,Visceral,,Frustração
Ajuda bastante,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Eu gostei do aplicativo! Ajuda a controlar o que comemos é bem satisfatório,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Após atualização ele trava quando vai marcar o peso,Atualizar peso,Crítica,Neutra,Reflexiva,Eficácia,
Perdi todo o meu histórico,Histórico,Crítica,Neutra,Reflexiva,Eficácia,
Não compensa baixar,,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Recomendo pegar outro app,,Crítica,Negativa,Visceral,,Frustração
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ja foi otimo agora esta travando,,Elogio/Crítica,Neutra,Reflexiva,Eficácia,
Nao consigo atualizar meu peso,Atualizar peso,Crítica,Neutra,Reflexiva,Eficácia,
Está travando na visualização do progresso,Progresso,Crítica,Neutra,Reflexiva,Eficácia,
Sem retorno em relação a correção do problema,,Crítica,Neutra,Visceral,,Suporte
Ajuda demais na dieta,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom para controle das calorias diárias,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Está travando na hora de entra no aplicativo, resolva isso!",,Crítica,Negativa,Comportamental,Eficácia,
"Sem comentários , não é atoa que quase todo youtuber usa",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Quando tento fazer login não consigo Quando chega na parte de manda email fala q não tô com internet,Login,Crítica,Negativa,Comportamental,Eficácia,
Bom pra perder peso,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Terrível,,Crítica,Negativa,Visceral,,Frustração
Faço o cadastro de login e aparece que não consegue entrar pois não tem internet,,Crítica,Neutra,Reflexiva,Eficácia,
Nao consigo me cadastrar so dar erro!!,Cadastrar,Crítica,Negativa,Reflexiva,Eficácia,Frustração
O app era excelente até o momento de travar e você não conseguir mais analisar e altetar a progressão,Progresso,Elogo/Crítica,Neutra,Reflexiva,Eficácia,
Quando vou colocar o progresso trava!!! Arrumem isso por favor,Progresso,Crítica,Negativa,Comportamental,Eficácia,Frustração
Quando abro a aba de progresso sempre trava!,Progresso,Crítica,Negativa,Comportamental,Eficácia,Frustração
n consigo me registrar dis email invalido msm estando certo,Cadastrar,Crítica,Neutra,Reflexiva,Eficácia,
"Progresso não entra e o app está travando muito, quando será corrigido?",Progresso,Crítica/Dúvida,Negativa,Reflexiva,Eficácia,Frustração
Muito Bom! Uso há bastante tempo e ajuda a termos controle,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Há tempos está TRAVANDO,,Crítica,Negativa,Reflexiva,Eficácia,Frustração
"Não conseguimos acessar um item principal que é ""Progresso""",Progresso,Crítica,Negativa,Reflexiva,Eficácia,
Não consigo me registrar!!! Já tentei um milhão de vezes!! Fala que estou sem internet,Cadastrar,Crítica,Negativa,Comportamental,Eficácia,Frustração
Não estou conseguindo terminar meu registro,Cadastrar,Crítica,Negativa,Reflexiva,Eficácia,
Já tentei várias vezes e de várias formas,,Crítica,Negativa,Visceral,,Frustração
"Aicativo trava, nao aceita email válido",Cadastrar,Crítica,Negativa,Reflexiva,Eficácia,
Ruim muito ruim,,Crítica,Negativa,Visceral,,Frustração
Eu não consigo me registrar seja por email ou facebook,Cadastrar,Crítica,Negativa,Reflexiva,Eficácia,
Muito bom app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"De um modo geral o app é muito útil, entretanto está travando em ""progresso"" a mais de 1 mês",Progresso,Elogio/Crítica,Neutra,Reflexiva,Utilidade; Eficácia,
Já foi atualizado e o problema continua,,Crítica,Negativa,Visceral,,Frustração
O app está travando em várias telas,,Crítica,Negativa,Reflexiva,Eficácia,
Infelizmente desinstalando,,Crítica,Negativa,Visceral,,Frustração
Esta app foi muito boa tinha feito rebot no telemóvel acabei perdendo a app,,Elogio; Crítica,Neutra,Comportamental,Eficácia,
"Depois da Actualização instalei 3x e nenhuma das vezes consegui entrar o telemóvel ficou parado no ""favor Aguardar "" vou usar outro app, lamento espero que resolvam isso",,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Aplicativo incrível,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Estou usando há 05 meses perdi 13kg junto com exercícios que estou fazendo em esteira,,Elogio,Positiva,Visceral,Satisfação,Satisfação
No último mês tem travado quando insiro dado no progresso,Progresso,Crítica,Neutra,Comportamental,Eficácia,
Mas me ajudou demais,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Meu nutricionista particular,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ainda não consegui usar ficar aparecendo que meu email tá errado oque faco,Cadastrar,Crítica/Dúvida,Neutra,Reflexiva,Eficácia; Aprendizado,
Fã muito mais fácil de q antes na hora de add receitas e ingredientes,Adicionar receita,Elogio,Positiva,Reflexiva,Aprendizado,
App muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Se pudesse daria 100 estrelas,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Me ajuda muito, pois através dele posso anotar tudo o que como durante o dia, estipulando metas de calorias, nutrientes etc",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
Super recomendo!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ok,,Elogio,Positiva,Visceral,Satisfação,Satisfação
É bom pra fazer a contagem mas quandro eu entro na manutenção de peão pra atualizar ele trava,,Elogio/Crítica,Neutra,Comportamental,Eficácia,
O aplicativo funciona uns 3 segundos e depois congela,,Crítica,Neutra,Reflexiva,Eficácia,
uma pena!,,Crítica,Negativa,Reflexiva,,Frustração
Amoooooo esse aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
me ajuda muito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
App trava no progresso,Progresso,Crítica,Neutra,Comportamental,Eficiência,
Otimo para quem precisa de uma dieta balanceada,,Elogio,Positiva,Visceral,Satisfação,"Satisfação, Motivação"
Só da erro,,Crítica,Negativa,Visceral,Eficácia,
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom pra quem quer regra a alimentação,,Elogio,Positiva,Visceral,Satisfação,"Satisfação, Motivação"
Excelênte,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Adorei muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bacana,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Eu gosto!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bug apenas para se cadastrar no app,Cadastro do usuário,Crítica,Negativa,Reflexiva,Eficácia,
Esse app é ótimo para quem quer emagrecer e para quem quer ganhar peso também,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Eu ganhei 8kg com as indicações do mesmo,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Esse aplicativo me ajudou muito a chegar ao meu peso ideal,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Podia ter opção de sincronização com a app Mi Fit para contar os passos,Sincronização com app Mi Fit,Sugestão,Neutra,Reflexiva,Utilidade,
O melhor em minha opinião!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor app para nutrição,,Elogio,Positiva,Visceral,Satisfação,"Satisfação, Motivação"
Excelente,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Deveria ter uma calculadora embutida pra facilitar e banco de dados verificado,Calculadora embutida,Sugestão,Neutra,Reflexiva,Utilidade,
Top de linha,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Acho otimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"O app é bom pra controlar as calorias ingeridas, porém não calcula as calorias gastas em exercícios de fortalecimento, apenas cardiovascular",Controlar calorias ingeridas / Calcular calorias gastas em exercícios de fortalecimento,Elogio / Crítica,Neutra,Reflexiva,Satisfação / Utilidade,Satisfação
Perfeito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente para dietas!,,Elogio,Positiva,Visceral,Satisfação,"Satisfação, Motivação"
Excelente App recomendo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Versão normal funciona bem,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O cuidado que se deve ter é no lançamento dos alimentos,Lançamento dos alimentos,Ajuda,Neutra,Reflexiva,,
Há itens lançados por usuários que não estão corretos,Lançamento dos alimentos por usuários,Crítica,Negativa,Reflexiva,Segurança,
Top de mais,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Não consegui nem fazer meu cadastro,Cadastro do usuário,Crítica,Negativa,Reflexiva,Eficácia,
ficou repetindo mil vezes q o nome d usuário não pode ser usado,Cadastro do usuário,Crítica,Negativa,Comportamental,Eficácia,
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Recomendo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Gostei,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Nao consigo nem me registrar pois todos os nomes de usuarios que coloco nao sao aceitos pelo aplicativo,Cadastro do usuário,Crítica,Negativa,Reflexiva,Utilidade,Frustração
Deve ser um erro do aplicativo,,Crítica,Negativa,Reflexiva,,
top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Mais rápido que a concorrência,,Comparação,Positiva,Reflexiva,Satisfação,Satisfação
